Metric,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26
Equity Share Capital,0.02,0.02,0.02,0.02,,29.1,38.27
Reserves,250.1,375.8,224.2,613.68,545.1,463.9,2534.36
Borrowings,131.75,219.26,365.36,485.2,478.5,619.3,664.22
Other Liabilities,136.53,146.22,229.02,877.9,889.9,988.3,1484.66
Total Liabilities,518.4,741.3,818.6,1976.8,1913.5,2100.6,4721.51
Net Block,177.7,306.7,334.6,544.5,458.9,616,864.94
Capital Work in Progress,104,47.2,92.7,37.4,70.6,122,102.61
Investments,39,92.4,37.3,285.9,292.2,41,552.01
Other Assets,197.7,295,354,1109,1091.8,1321.6,3201.95
Total Assets,518.4,741.3,818.6,1976.8,1913.5,2100.6,4721.51
Receivables,,,1,1.2,1.6,11.8,8.3
Inventory,17.7,56.7,60.7,257.4,116.7,244.6,281.56
Cash & Bank,48.4,55.3,88.7,176.2,447.8,370.4,823.15
No. of Equity Shares,109335,109335,114360,114560,,291000000,
New Bonus Shares,,,,,,,
Face value,1,1,1,1,,1,1
