Metric,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26
Sales,35.3,79.8,408.5,1780.9,1753.8,2255,3671.76
Raw Material Cost,81,102.2,377.3,1629.3,1607.1,1927.6,2905.19
Change in Inventory,-0.7,10.5,-14.3,33.9,-24.7,50.8,7.58
Power and Fuel,1.7,1.6,2.8,6,9.1,11.4,
Other Mfr. Exp,1.3,1.4,2.2,22,41.3,32.5,
Employee Cost,51.2,65.7,114.8,334.8,416.1,488.7,481.6
Selling and admin,42.5,57.9,87.5,409.1,327.6,463.4,
Other Expenses,41.6,38.7,69.1,121.2,12.6,-36.9,700.91
Other Income,13.5,6.6,3.6,20.9,-139.3,50.2,146.28
Depreciation,24.7,35.1,48.4,112.8,146.7,171,172.89
Interest,24,27.6,39.8,65,89,110.6,82.2
Profit before tax,-219.9,-233.3,-344.1,-864.5,-1059.7,-812.3,-517.17
Tax,,,,,,,
Net profit,-219.9,-233.3,-344.1,-864.5,-1059.7,-812.3,-517.17
Dividend Amount,,,,,,,
