Report Date             , 2017-03-31 00:00:00, 2018-03-31 00:00:00, 2019-03-31 00:00:00, 2020-03-31 00:00:00, 2021-03-31 00:00:00, 2022-03-31 00:00:00, 2023-03-31 00:00:00, 2024-03-31 00:00:00, 2025-03-31 00:00:00, 2026-03-31 00:00:00
Equity Share Capital    ,              289.37,              289.37,              289.37,              289.37,              289.37,              289.37,              282.96,              279.18,              279.26,              279.5
Reserves                ,            17567.2 ,            20135.87,            22944.44,            21372.71,            26984.06,            29570.28,            29078.58,            28683.23,            34909.48,            38552.49
Borrowings              ,              119.9 ,              120.77,              124.52,              125.59,              121.46,              122.77,              124.23,             1911.74,             9364.16,            22713.15
Other Liabilities       ,             3661.15,             4594.99,             5476.08,             4722.35,             6206.82,             5128.79,             5650.68,             8469.54,             9557.02,            15677.85
Total                   ,            21637.62,            25141   ,            28834.41,            26510.02,            33601.71,            35111.21,            35136.45,            39343.69,            54109.92,            77222.99
Net Block               ,             2001.79,             1878.33,             1763.94,             1699.02,             1667.55,             1836.05,             2842.24,             3217.37,             3676.59,            13361.73
Capital Work in Progress,               42.17,               56.47,               48.02,               60.19,               15.98,               77.21,               85.27,               35.1 ,               60.8 ,              120.32
Investments             ,            15477.04,            18894.57,            20602.85,            19913.58,            24686.65,            26634.12,            26182.91,            28086.68,            28913.87,            24642.18
Other Assets            ,             4116.62,             4311.63,             6419.6 ,             4837.23,             7231.53,             6563.83,             6026.03,             8004.54,            21458.66,            39098.76
Total                   ,            21637.62,            25141   ,            28834.41,            26510.02,            33601.71,            35111.21,            35136.45,            39343.69,            54109.92,            77222.99
Receivables             ,              953.29,             1491.87,             2559.69,             1725.1 ,             2716.85,             1516.38,             1752.43,             2075.53,             2125.22,             3473.44
Inventory               ,              728.38,              742.58,              961.51,             1063.5 ,             1493.89,             1230.51,             1563.55,             1688.75,             2077.36,             6294.49
Cash & Bank             ,              301.36,              792.66,              933.07,              316.34,              538.84,              958.06,              690.48,              955.32,             2847.6 ,             3071.89
No. of Equity Shares    ,        289367020   ,        289367020   ,        289367020   ,        289367020   ,        289367020   ,        289367020   ,        282957358   ,        279179756   ,        279257608   ,                 
New Bonus Shares        ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                 
Face value              ,               10   ,               10   ,               10   ,               10   ,               10   ,               10   ,               10   ,               10   ,               10   ,               10
