Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,21754.72,25209.93,30357.63,29918.65,27741.08,33144.71,36455.38,44870.43,50994.55,62905
Raw Material Cost,14667.83,17400.41,21854.1,21071.29,19829.13,24141.86,26221.58,31969.57,35230.78,42015.49
Change in Inventory,43.68,-9.68,56.42,63.01,219.48,-187.96,100.33,76.34,-28.41,-394.37
Power and Fuel,96.46,100.26,115.01,116.57,91.34,108.01,122.6,147.94,176.94,
Other Mfr. Exp,547.54,550.16,633.99,698.83,597.11,836.28,743.55,734.43,815.51,
Employee Cost,999.83,1072.59,1260.32,1395,1296.07,1366,1488.1,1631.06,1930.38,2461.44
Selling and admin,699.73,852.82,940.92,1020.98,654.86,644.9,852.61,999.37,1239.38,
Other Expenses,358.38,378.21,411.79,569.65,554.27,600.9,662.63,699.72,2018.55,4972.63
Other Income,1467.61,1403.72,2027.83,1832.38,1569.68,2671.3,1702.7,1700.49,1472.06,2703.75
Depreciation,307.29,314.8,265.69,246.43,259.37,269.76,285.85,364.77,414.23,644.69
Interest,1.4,1.31,4.48,3.16,6.66,8.66,39.51,60.36,388.9,1168.59
Profit before tax,5587.55,5933.41,6955.58,6692.13,6241.43,7651.68,7841.98,10040.04,10223.53,13951.54
Tax,1508.07,1714.47,2027.98,1480.22,1384.41,1485.81,1781.77,2331.8,2898.8,3377.04
Net profit,4079.49,4218.95,4927.61,5211.91,4857.02,6165.87,6060.21,7708.24,7324.73,10744.21
Dividend Amount,1591.54,1736.22,1736.22,3472.44,4051.18,4051.18,3961.44,2233.44,5864.46,4192.5
