Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,39.94,39.94,39.95,39.95,39.96,39.96,39.97,39.98,40,40.02
Reserves,10275.57,11931.52,13080.46,14366.33,15376.46,15806.69,16615.6,17658.94,19232.04,21571.17
Borrowings,260.61,227.89,311.5,453.25,584.02,605.17,567.54,606.41,699.93,778.61
Other Liabilities,4735.88,5197.38,5072.45,4814.54,7095.65,6026.57,6693.92,7847.46,8418.35,11062.79
Total,15312,17396.73,18504.36,19674.07,23096.09,22478.39,23917.03,26152.79,28390.32,33452.59
Net Block,4598.85,4960.96,4952.36,6472.93,6380.39,6193.54,6159.2,6232.2,6282.98,6893.83
Capital Work in Progress,580.96,355.48,572.82,391.33,495.13,517.22,453.71,484.06,487.18,244.7
Investments,6066.37,7669.24,6113.83,8358.64,10581.62,10527.87,10890.93,12751.24,14384.26,19286.38
Other Assets,4065.82,4411.05,6865.35,4451.17,5638.95,5239.76,6413.19,6685.29,7235.9,7027.68
Total,15312,17396.73,18504.36,19674.07,23096.09,22478.39,23917.03,26152.79,28390.32,33452.59
Receivables,1551.75,1426.97,2745.11,1511.91,2274.68,2158.49,2719.47,2630.22,3381.29,2339.85
Inventory,708.58,962.68,1249.53,1282.32,1789.27,1472.41,1756.39,1755.9,2013.34,2650.09
Cash & Bank,195.39,237.57,303.9,435.41,396.24,299.74,422.8,696.47,574.08,766.7
No. of Equity Shares,199696838,199696838,199726884,199739368,199780217,199780217,199839718,199921741,200010836,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
