Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,28610.43,32458.37,33970.82,29253.97,30959.19,29551.28,34158.38,37788.62,40923.42,47411.24
Raw Material Cost,19019.34,21995.94,23503.46,20004.29,21999.18,20891.69,24107.72,25321.09,27154.98,31982.69
Change in Inventory,-96.74,110.12,59.04,173.34,255.57,-28.67,163.69,-188.35,244.34,303.32
Power and Fuel,112.84,139.84,158.12,132.96,113.89,109.72,114.56,120.18,131.13,
Other Mfr. Exp,205.67,241.07,251.2,231.91,217.64,227.08,239.17,287.53,319.35,
Employee Cost,1432.49,1583.71,1778.03,1889.32,1951.02,1995.78,2250.05,2631.54,2680.07,2829.47
Selling and admin,2097.44,2180.62,2183.54,1787.87,1699.6,1835.46,2007.04,2201.66,2489.79,
Other Expenses,1060.86,1092.98,1130.61,1311.38,1175.81,1206.93,1504.93,1803.32,2603.57,5857.27
Other Income,829.88,563.55,741.02,1433.9,553.23,544.78,567.29,688.98,1039.93,1323.71
Depreciation,502.25,574.98,624.44,845.76,715.12,689.52,697.39,757.36,824.59,854.99
Interest,27.28,30.8,37.18,46.64,46.41,53.1,104.88,76.37,70.65,78.27
Profit before tax,4885.4,5292.1,5104.3,4611.08,3849.32,3058.11,3863.62,5090.2,5933.56,7435.58
Tax,1339.1,1569.93,1637.95,951.67,913.27,729.06,1063.72,1348.04,1557.75,1659.88
Net profit,3584.27,3720.4,3444.09,3638.11,2917.75,2316.88,2809.96,3744.83,4378.48,5741.73
Dividend Amount,1697.45,1897.15,1737.82,1797.75,2097.9,1898.1,1998.5,2798.6,3300,3701.85
