Metric,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25
Equity Share Capital,0.01,1955.45,1955.45,1955.45,4411
Reserves,1970.6,-98.12,-1408.7,-2909.43,732
Borrowings,42.18,2607.92,3505.48,5683.72,3556
Other Liabilities,99.85,930.62,1520.94,3005.67,2376
Total Liabilities,2112.64,5395.87,5573.17,7735.41,11075
Net Block,104.18,1024.54,1218.88,2491.06,3154
Capital Work in Progress,42.74,83,507.18,712.62,702
Investments,455.4,1102.44,276.01,63.72,40
Other Assets,1510.32,3185.89,3571.1,4468.01,7179
Total Assets,2112.64,5395.87,5573.17,7735.41,11075
Receivables,0.38,15.22,84.25,158.48,9
Inventory,3.22,284.29,583.96,693.99,784
Cash & Bank,1365.93,2096.76,1529.29,1663.09,3516
No. of Equity Shares,10000,1955449972,1955449972,1955449972,4410829885
New Bonus Shares,,,,,
Face value,10,10,10,10,10
