Metric,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25
Sales,0.86,373.42,2630.93,5009.83,4514
Raw Material Cost,,641.12,2644.05,4460.66,3699
Change in Inventory,,160.22,73.64,81.14,-9
Power and Fuel,0.95,4.7,16.4,37.24,56
Other Mfr. Exp,16.28,82.58,91.85,229.07,363
Employee Cost,197.25,282.48,429.72,450.6,465
Selling and admin,58.06,281.89,727.7,1140.43,1598
Other Expenses,5.48,41.05,47.14,38.8,59
Other Income,98.34,82.63,55.19,225.64,391
Depreciation,19.62,48.98,167.06,357.64,566
Interest,0.79,17.62,107.92,186.57,366
Profit before tax,-199.23,-784.15,-1472.08,-1584.4,-2276
Tax,,,,,
Net profit,-199.23,-784.15,-1472.08,-1584.4,-2276
Dividend Amount,,,,,
