Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51
Reserves,2168.53,2629.69,3122.66,3234.59,3779.1,4351.94,5457.49,6736,8455.87,9516.74
Borrowings,1310.8,6927.54,9298.05,11591.45,12179.16,15827.21,22375.58,26005.7,28608.71,32791.01
Other Liabilities,2601.12,3585.56,4228.27,4398.62,5859.3,6692.44,7143.96,9234.79,10538.8,14145.36
Total,6127.96,13190.3,16696.49,19272.17,21865.07,26919.1,35024.54,42024,47650.89,56500.62
Net Block,2362.06,3093.85,3366.8,3810.69,4221.05,5974.64,5748.03,5890.82,7644.45,10199.58
Capital Work in Progress,63.81,313.26,744.51,1006.01,1040.77,551.53,743.45,1032.95,1465.45,973.55
Investments,1155.19,421.02,439.73,370.91,468.01,604.56,967.25,1123.19,1247.38,1146.64
Other Assets,2546.9,9362.17,12145.45,14084.56,16135.24,19788.37,27565.81,33977.04,37293.61,44180.85
Total,6127.96,13190.3,16696.49,19272.17,21865.07,26919.1,35024.54,42024,47650.89,56500.62
Receivables,701.81,1070.88,1546.07,1454.36,1029.26,1177.3,1256.42,1839.42,1716.75,2654.13
Inventory,1161.86,1056.15,1291.57,1188.47,1367.43,1642.36,1921.51,2248.4,2416.58,2459.2
Cash & Bank,51.26,172.93,206.31,1107.57,1656.85,1535.61,1879.11,2425.73,4386.24,4501.12
No. of Equity Shares,475087114,475087114,475087114,475087114,475087114,475087114,475087114,475087114,475087114,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
