Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,12462.62,16340.25,20159.99,18849.31,19420.82,24355.31,31973.99,38778.82,44089.01,56069.52
Raw Material Cost,8985.23,11257.6,14033.27,12310.04,12925.65,16517.69,20987.19,24593.59,26803.06,34500.71
Change in Inventory,48.77,-33.96,78.95,-6.73,0.19,260.4,140.93,323.37,79.22,-379.05
Power and Fuel,108.83,128.63,136.59,112.75,96.14,126.81,133.47,104.53,118.63,
Other Mfr. Exp,142.71,156.57,155.03,154.06,142.23,160.71,209.5,245.47,334.37,
Employee Cost,828.05,1149.79,1432.15,1539.35,1689.37,2124.62,2890.25,3297.72,3580.88,4391.61
Selling and admin,1137.29,1370.71,1208.18,1223.87,986.91,1138.3,1353.75,1804.37,2315.47,
Other Expenses,438.02,671.51,1110.68,1238.05,1348.67,1792.95,2514.11,3621.96,4441.22,8445.88
Other Income,163.14,71.15,24.92,11.5,35.9,-4.76,136.13,130.78,99.47,-28.07
Depreciation,316.82,373.6,441.71,556,564.82,742.86,858.86,956.15,1045.56,1272.64
Interest,59.62,338.22,663.4,854.54,881.49,940.22,1367.89,1916.6,2093.25,2229.82
Profit before tax,657.96,930.81,1082.85,865.42,821.63,1066.79,1936.03,2692.58,3535.26,4821.74
Tax,148.67,266.03,357.45,218.62,214.13,335.91,626.57,914.04,1155.45,1635.31
Net profit,511.24,652.35,704.67,624.62,594.26,756.82,1328.67,1686.37,2235.56,3018.33
Dividend Amount,118.78,156.78,166.28,166.28,166.28,178.16,237.55,380.08,475.1,
